DESCRIPCION,CODIGO_ETAPA,DURACION_HORAS,bigrams
Diseño de casos de prueba HU 47,PRSIS,2.5,"{'prueba HU', 'caso prueba', 'HU 47', 'Diseño caso'}"
Reunión de seguimiento con líder de requerimientos del MHCP Claudia López con presentación de las metas a octubre,APSEG,1.0,"{'Claudia López', 'reunión seguimiento', 'requerimiento MHCP', 'MHCP Claudia', 'meta octubre', 'seguimiento líder', 'líder requerimiento', 'presentación meta', 'López presentación'}"
Reunión de seguimiento con claudia lópez,APSEG,1.0,"{'seguimiento claudia', 'claudia lópez', 'reunión seguimiento'}"
Reunión de seguimiento semanal con Claudia López,APSEG,1.0,"{'seguimiento semanal', 'semanal Claudia', 'Claudia López', 'reunión seguimiento'}"
Reunión de seguimiento de PRG,APSEG,1.0,"{'seguimiento PRG', 'reunión seguimiento'}"
Reunión con Sergio para validar la planeación de las pruebas del sprint 4,PRSIS,1.0,"{'prueba sprint', 'planeación prueba', 'Sergio validar', 'Reunión Sergio', 'validar planeación', 'sprint 4'}"
"Ejecución pruebas funcionales del CC 50

 código azure 207249 -",PRSIS,3.0,"{'azure 207249', '50 \r\n\r\n ', 'Ejecución prueba', 'código azure', '\r\n\r\n  código', 'funcional CC', 'CC 50', 'prueba funcional'}"
Reunión de seguimiento diario VFE,APSEG,0.5,"{'diario VFE', 'seguimiento diario', 'reunión seguimiento'}"
Reunión en el ministerio con la ingeniera Adriana para Seguimiento Avance desarrollos y validación fechas de entrega VFE - Datos TFS,APSEG,2.0,"{'Reunión ministerio', 'Adriana Seguimiento', 'validación fecha', 'Datos TFS', 'desarrollos validación', 'ministerio ingeniera', 'ingeniera Adriana', 'fecha entrega', 'entrega VFE', 'VFE Datos', 'Avance desarrollos', 'Seguimiento Avance'}"
Actividad  9. Usar paquete que envíe correo de confirmacion a solicitante y gestor.,COAJU,1.83,"{'solicitante gestor', '  9', '9 paquete', 'Actividad  ', 'envíar correo', 'paquete envíar', 'confirmacion solicitante', 'correo confirmacion'}"
Actividad  9. Usar paquete que envíe correo de confirmacion a solicitante y gestor.,COAJU,1.92,"{'solicitante gestor', '  9', '9 paquete', 'Actividad  ', 'envíar correo', 'paquete envíar', 'confirmacion solicitante', 'correo confirmacion'}"
apoyo al equipo en la correccion de controlador y servicio donde la informacion de comisaria se encontraba estatica.,COAJU,1.5,"{'comisaria encontrar', 'informacion comisaria', 'controlador servicio', 'apoyo equipo', 'encontrar estatico', 'servicio informacion', 'correccion controlador', 'equipo correccion'}"
"se realizan mejoras en la creacion de usuario , se envia por correo las claves auto generadas.",COAJU,2.0,"{'mejora creacion', 'realizar mejora', 'usuario envia', 'envia correo', 'creacion usuario', 'clave auto', 'auto generado', 'correo clave'}"
Daily ASW,APSEG,0.25,{'Daily ASW'}
seguimiento con Magda estado issues y validcion completados. De 1121 tenemos tan solo 11 abiertos,APSEG,3.0,"{'11 abierto', 'completado 1121', 'issues validcion', 'Magda issues', 'validcion completado', '1121 11', 'seguimiento Magda'}"
Daily ASW,APSEG,0.25,{'Daily ASW'}
Actualización sharepoint sprint 7 y generación de documentación faltante de pruebas,PRSIS,2.5,"{'faltante prueba', 'generación documentación', '7 generación', 'sharepoint sprint', 'sprint 7', 'documentación faltante', 'Actualización sharepoint'}"
Documentar los diferentes puntos que se deben llevar acabo a la hora de codificar o desarrollar en los diferentes modulos custom.,COAJU,2.5,"{'documentar punto', 'codificar desarrollar', 'hora codificar', 'acabo hora', 'modulo custom', 'punto acabo', 'desarrollar modulo'}"
Ejecución de pruebas de regresión,PRSIS,1.5,"{'Ejecución prueba', 'prueba regresión'}"
Documentar los diferentes puntos que se deben llevar acabo a la hora de codificar o desarrollar en los diferentes modulos custom.,COAJU,3.0,"{'documentar punto', 'codificar desarrollar', 'hora codificar', 'acabo hora', 'modulo custom', 'punto acabo', 'desarrollar modulo'}"
Realizar ADM /// seguimiento a artefactos de control.,APSEG,2.0,"{'ADM seguimiento', 'artefacto control', 'seguimiento artefacto'}"
Seguimiento a pendiente de horas /// Daily /// actualizar horas en el Fac_Dav,ASEJE,3.0,"{'hora Daily', 'Daily actualizar', 'actualizar hora', 'hora Fac_Dav', 'Seguimiento pendiente', 'pendiente hora'}"
Realizar estimación de CO_1024_Estimacion_PU_HU_1.6_Validar entrega_V1.1 /// CO_1024_Estimacion_Construcción de CO_964_VD_HU_7.1.1_Validación de calidad del expediente,ASEJE,1.0,"{'CO_964_VD_HU_7.1.1_Validación calidad', 'co_1024_estimacion_pu_hu_1.6_validar entrega_v1.1', 'CO_1024_Estimacion_Construcción CO_964_VD_HU_7.1.1_Validación', 'calidad expediente', 'entrega_v1.1 CO_1024_Estimacion_Construcción', 'estimación co_1024_estimacion_pu_hu_1.6_validar'}"
Actualizar valor FAC_ANT /// actualizar horas administrativas,ASEJE,2.0,"{'valor FAC_ANT', 'actualizar hora', 'actualizar valor', 'FAC_ANT actualizar', 'hora administrativo'}"
