DESCRIPCION,CODIGO_ETAPA,DURACION_HORAS,bigrams
"Seguimiento planeación de revisiones de calidad proyecto: 
MANTENIMIENTO_MINHACIENDA_2022
SQUAD_GRIFUS_ALIANZA
",ASEJE,2.0,"{'MANTENIMIENTO_MINHACIENDA_2022 \r\n', 'planeación revisión', 'Seguimiento planeación', '\r\n SQUAD_GRIFUS_ALIANZA', '\r\n MANTENIMIENTO_MINHACIENDA_2022', 'SQUAD_GRIFUS_ALIANZA \r\n', 'revisión calidad', 'calidad proyecto', 'proyecto \r\n'}"
"Seguimiento planeación de revisiones de calidad proyecto: 
FABRICA_ACTS_CURAZAO_2020",ASEJE,1.0,"{'planeación revisión', 'Seguimiento planeación', 'revisión calidad', 'calidad proyecto', '\r\n FABRICA_ACTS_CURAZAO_2020', 'proyecto \r\n'}"
Videos de los sprint 7.1,PRSIS,1.0,"{'Videos sprint', 'sprint 7.1'}"
Daily - Proyecto OCR Credipyme,PRSIS,0.33,"{'Daily Proyecto', 'OCR Credipyme', 'Proyecto OCR'}"
"VFE - Reunión daily (Implementación reglas de rechazo) (Transversal a: CUSISDET1VFE10-ConstruirXMLDEND, CUSISDET4VFE10-ConstruirXMLDEFE, CUSISDET2VFE10-ConstruirXMLDENC, CUSISDET3VFE10-ConstruirXMLDEDS, CUSISDET4VFE10-ConstruirXMLDENA)
",APSEG,0.75,"{'CUSISDET4VFE10-ConstruirXMLDENA \r\n', 'daily Implementación', 'rechazo Transversal', 'Implementación regla', 'VFE Reunión', 'regla rechazo', 'Reunión daily', 'CUSISDET1VFE10-ConstruirXMLDEND cusisdet4vfe10-construirxmldefe', 'cusisdet2vfe10-construirxmldenc CUSISDET3VFE10-ConstruirXMLDEDS', 'CUSISDET3VFE10-ConstruirXMLDEDS CUSISDET4VFE10-ConstruirXMLDENA', 'Transversal CUSISDET1VFE10-ConstruirXMLDEND', 'cusisdet4vfe10-construirxmldefe cusisdet2vfe10-construirxmldenc'}"
"Desarrollo y ajustes al manual de usuario para el ambiente del service desk en base a los requerimientos, HU  y evidencias.",ASEJE,2.0,"{'requerimiento HU', 'service desk', 'manual usuario', 'Desarrollo ajuste', 'ambiente service', 'desk base', 'ajuste manual', '  evidencia', 'base requerimiento', 'HU  ', 'usuario ambiente'}"
"Desarrollo y ajustes al manual de usuario para el ambiente del service desk en base a los requerimientos, HU  y evidencias.",ASEJE,2.0,"{'requerimiento HU', 'service desk', 'manual usuario', 'Desarrollo ajuste', 'ambiente service', 'desk base', 'ajuste manual', '  evidencia', 'base requerimiento', 'HU  ', 'usuario ambiente'}"
"Desarrollo y ajustes al manual de usuario para el ambiente del service desk en base a los requerimientos, HU  y evidencias.",ASEJE,2.0,"{'requerimiento HU', 'service desk', 'manual usuario', 'Desarrollo ajuste', 'ambiente service', 'desk base', 'ajuste manual', '  evidencia', 'base requerimiento', 'HU  ', 'usuario ambiente'}"
Daily,APSEG,0.5,set()
Ajustes y generación para pruebas unitarias de marcación de Pasivas,PRSIS,2.0,"{'generación prueba', 'prueba unitario', 'unitario marcación', 'marcación Pasivas', 'ajuste generación'}"
daily 18 de octubre,APSEG,0.5,"{'daily 18', '18 octubre'}"
Actualizar el informe de cargue de horas Azure y generar retroalimentación de las mismas con cada ing.,ASEJE,1.5,"{'retroalimentación ing', 'informe cargue', 'actualizar informe', 'generar retroalimentación', 'Azure generar', 'hora Azure', 'cargue hora'}"
Daily,APSEG,0.5,set()
Planning,APSEG,2.0,set()
Video de automatizacion sarlaft formulario persona juridica,ASEJE,1.0,"{'Video automatizacion', 'sarlaft formulario', 'persona juridico', 'automatizacion sarlaft', 'formulario persona'}"
Capacitación: Revisar documentación para Manuales APEX,ASEJE,3.0,"{'Manuales APEX', 'documentación Manuales', 'capacitación Revisar', 'Revisar documentación'}"
"Reunión ""BOLIVAR PROPUESTA PARA ORACLE""",ASEJE,2.0,"{'BOLIVAR PROPUESTA', 'reunión BOLIVAR', 'PROPUESTA ORACLE'}"
"Reunión preparación ""Capacitación Apex"" enviada por Claudia Sandoval",ASEJE,1.0,"{'Capacitación Apex', 'Claudia Sandoval', 'Apex enviado', 'preparación Capacitación', 'reunión preparación', 'enviado Claudia'}"
"Reunión Oracle ""Dry Run - Seguros Bolívar""",ASEJE,2.0,"{'dry Run', 'Run Seguros', 'Seguros Bolívar', 'Oracle dry', 'Reunión Oracle'}"
Ajuste de bug de reporte de gastos: Se aumenta tiempo de espera de las consultas.,COAJU,2.0,"{'aumentar tiempo', 'reporte gasto', 'bug reporte', 'Ajuste bug', 'tiempo espera', 'gasto aumentar', 'espera consulta'}"
214557 Resolucion de bugs HU_002  semana de entrega,COAJU,3.0,"{'214557 Resolucion', '  semana', 'HU_002  ', 'bugs HU_002', 'Resolucion bugs', 'semana entrega'}"
214557 Resolucion de bugs HU_002  semana de entrega,COAJU,1.0,"{'214557 Resolucion', '  semana', 'HU_002  ', 'bugs HU_002', 'Resolucion bugs', 'semana entrega'}"
"214558 Resolucion bugs HU_011 Semana de entrega 
",COAJU,2.0,"{'Semana entrega', 'entrega \r\n', 'HU_011 Semana', '214558 Resolucion', 'Resolucion bugs', 'bugs HU_011'}"
"214558 Resolucion bugs HU_011 Semana de entrega 
",COAJU,2.0,"{'Semana entrega', 'entrega \r\n', 'HU_011 Semana', '214558 Resolucion', 'Resolucion bugs', 'bugs HU_011'}"
Pruebas funcionales del CC: HU_075_CC_089 FORZAR TODOS LOS LUGARES,PRSIS,1.0,"{'funcional CC', 'CC hu_075_cc_089', 'hu_075_cc_089 FORZAR', 'FORZAR LUGARES', 'prueba funcional'}"
tablero egresos- Actualización de registros en preAlta/posible salida en proceso de Egreso,COAJU,2.5,"{'tablero egresos-', 'registro prealta', 'Actualización registro', 'proceso Egreso', 'prealta salido', 'egresos- Actualización', 'salido proceso'}"
tablero egresos- Actualización de registros en preAlta/posible salida en proceso de Egreso,COAJU,2.0,"{'tablero egresos-', 'registro prealta', 'Actualización registro', 'proceso Egreso', 'prealta salido', 'egresos- Actualización', 'salido proceso'}"
"tablero egresos- Mostrar tiempo transcurrido desde la hora inicio de un Step hasta la hora actual, para pasos que están en proceso",COAJU,3.0,"{'tablero egresos-', 'tiempo transcurrido', 'hora actual', 'Step hora', 'mostrar tiempo', 'inicio Step', 'transcurrido hora', 'egresos- mostrar', 'paso proceso', 'actual paso', 'hora inicio'}"
Daily de seguimiento equipo de desarrollo Asesoftware,APSEG,0.83,"{'equipo desarrollo', 'Daily seguimiento', 'seguimiento equipo', 'desarrollo Asesoftware'}"
Daily general,APSEG,1.0,{'Daily general'}
"HU_065 entendiendo que se debe hacer en esta HU, e inicio de la misma",COAJU,1.5,"{'hu_065 entender', 'HU inicio', 'entender HU'}"
Revisión y corrección de error que actualiza incorrectamente el valor disponible de la asignación de ciclos,COAJU,3.0,"{'Revisión corrección', 'incorrectamente valor', 'asignación ciclo', 'actualizar incorrectamente', 'valor disponible', 'error actualizar', 'corrección error', 'disponible asignación'}"
Revisión y corrección de error que actualiza incorrectamente el valor disponible de la asignación de ciclos y corrección de error que no crea correctamente una optimización,COAJU,2.0,"{'creer correctamente', 'Revisión corrección', 'correctamente optimización', 'incorrectamente valor', 'asignación ciclo', 'ciclo corrección', 'actualizar incorrectamente', 'valor disponible', 'error actualizar', 'error creer', 'corrección error', 'disponible asignación'}"
Trabajar en el APS de rentabilidad del proyecto CO_929.,ASEJE,2.0,"{'proyecto CO_929', 'trabajar APS', 'APS rentabilidad', 'rentabilidad proyecto'}"
Seguimiento de actividades datamatch y conciso,ASEJE,0.5,"{'actividad datamatch', 'Seguimiento actividad', 'datamatch conciso'}"
Validación de los errors de impresión y sonido con el equipo de optocontrol,COAJU,1.25,"{'equipo optocontrol', 'Validación error', 'impresión sonido', 'sonido equipo', 'error impresión'}"
Ajuste a la impresión para que lo haga de forma sincronía,COAJU,2.0,"{'forma sincronía', 'impresión hacer', 'hacer forma', 'Ajuste impresión'}"
Validación de la impresión sincronía conectados a la red de optocontrol,COAJU,2.0,"{'sincronir conectado', 'red optocontrol', 'conectado red', 'impresión sincronir', 'Validación impresión'}"
Implementación de las mejoras de impresión y sonido a todas las funcionalidades del app,COAJU,2.0,"{'Implementación mejora', 'mejora impresión', 'impresión sonido', 'funcionalidad app', 'sonido funcionalidad'}"
"Desarrollo y ajustes al manual de usuario para el ambiente del service desk en base a los requerimientos, HU  y evidencias.",ASEJE,2.0,"{'requerimiento HU', 'service desk', 'manual usuario', 'Desarrollo ajuste', 'ambiente service', 'desk base', 'ajuste manual', '  evidencia', 'base requerimiento', 'HU  ', 'usuario ambiente'}"
Adelantar informe de liquidación,ASEJE,2.0,"{'informe liquidación', 'Adelantar informe'}"
Desarrollo Diseño tactico y modelo dominio APR,ASEJE,3.0,"{'tactico modelo', 'Desarrollo Diseño', 'modelo dominio', 'dominio APR', 'Diseño tactico'}"
Desarrollo Diseño tactico y modelo dominio APR,ASEJE,3.0,"{'tactico modelo', 'Desarrollo Diseño', 'modelo dominio', 'dominio APR', 'Diseño tactico'}"
Desarrollo Diseño tactico y modelo dominio APR,ASEJE,2.0,"{'tactico modelo', 'Desarrollo Diseño', 'modelo dominio', 'dominio APR', 'Diseño tactico'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,2.0,"{'Ciclo 1', 'qa Ciclo'}"
"QA Ciclo 1
Se recuperan 2 horas, por el permiso del martes 18 de octubre",PRSIS,2.0,"{'2 hora', 'qa Ciclo', 'recuperan 2', '18 octubre', 'permiso martes', 'hora permiso', 'martes 18', 'Ciclo 1', '1 \r\n', '\r\n recuperan'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
pruebas UAT EVOCOREARL-11,PRSIS,2.0,"{'UAT EVOCOREARL-11', 'prueba UAT'}"
SEGUIMIENTO PROYECTO DOCUMENTAC,APSEG,3.0,"{'SEGUIMIENTO PROYECTO', 'PROYECTO DOCUMENTAC'}"
SEGUIMIENTO PROYECTO MDS,APSEG,1.0,"{'SEGUIMIENTO PROYECTO', 'PROYECTO MDS'}"
SEGUIMIENTO BCIE,APSEG,4.0,{'SEGUIMIENTO bcie'}
PRUEBAS GD562-12,PRSIS,0.5,{'PRUEBAS GD562-12'}
213085 - Ejecución pruebas funcionales,PRSIS,3.0,"{'Ejecución prueba', 'prueba funcional', '213085 Ejecución'}"
daily,PRSIS,0.5,set()
Pruebas funcionales del CC: HU_074_CC_085 GENERAR RECORRIDOS FILTRO LUGARES,PRSIS,1.5,"{'FILTRO LUGARES', 'GENERAR RECORRIDOS', 'funcional CC', 'hu_074_cc_085 GENERAR', 'CC hu_074_cc_085', 'RECORRIDOS FILTRO', 'prueba funcional'}"
Verificación y cierre de bugs,PRSIS,1.5,"{'verificación cierre', 'cierre bugs'}"
213088  - Ejecución pruebas funcionales,PRSIS,2.0,"{'Ejecución prueba', '213088  ', '  Ejecución', 'prueba funcional'}"
213086 - Ejecución pruebas funcionales,PRSIS,3.0,"{'Ejecución prueba', '213086 Ejecución', 'prueba funcional'}"
se trabajo en caso INC-SOFTWARE-TRONADOR CIA 3,COAJU,2.0,"{'caso INC-SOFTWARE-TRONADOR', 'trabajar caso', 'INC-SOFTWARE-TRONADOR CIA', 'CIA 3'}"
se trabajo en caso INC-SOFTWARE-TRONADOR CIA 3,COAJU,2.0,"{'caso INC-SOFTWARE-TRONADOR', 'trabajar caso', 'INC-SOFTWARE-TRONADOR CIA', 'CIA 3'}"
se trabajo en caso INC-SOFTWARE-TRONADOR CIA 3,COAJU,2.0,"{'caso INC-SOFTWARE-TRONADOR', 'trabajar caso', 'INC-SOFTWARE-TRONADOR CIA', 'CIA 3'}"
se trabajo en caso INC-SOFTWARE-TRONADOR CIA 3,COAJU,2.0,"{'caso INC-SOFTWARE-TRONADOR', 'trabajar caso', 'INC-SOFTWARE-TRONADOR CIA', 'CIA 3'}"
pruebas locales de envio de notificaciones con eventos configurados en el nuevo notificador lib 4438,PRSIS,4.0,"{'envio notificación', 'evento configurado', 'configurado notificador', 'local envio', 'prueba local', 'notificador lib', 'lib 4438', 'notificación evento'}"
"correciones errores iteracion 39, bug reportados por el cliente.",COAJU,4.0,"{'bug reportado', 'error iteracion', 'reportado cliente', '39 bug', 'correción error', 'iteracion 39'}"
Daily,APSEG,0.5,set()
Trabajar en el APS de rentabilidad del proyecto CO_929.,ASEJE,0.5,"{'proyecto CO_929', 'trabajar APS', 'APS rentabilidad', 'rentabilidad proyecto'}"
"Seguimiento con líder de cedis.
Se realiza aprobación de actividades
se revisa tareas de fenix abastecimiento",APSEG,4.0,"{'realizar aprobación', 'aprobación actividad', 'cedis \r\n', 'revisar tarea', 'tarea fenix', 'fenix abastecimiento', '\r\n revisar', '\r\n realizar', 'Seguimiento líder', 'líder cedis', 'actividad \r\n'}"
Gestión entregables arquitectura,APSEG,2.0,"{'entregabl arquitectura', 'Gestión entregabl'}"
"Daily suppt, daily interno, daily pad, daily ítem 2.",APSEG,2.0,"{'daily ítem', 'pad daily', 'ítem 2', 'daily interno', 'interno daily', 'suppt daily', 'Daily suppt', 'daily pad'}"
En este espacio se finaliza el ajuste de la visualización del datos de la certificación,COAJU,1.0,"{'finalizar ajuste', 'dato certificación', 'espacio finalizar', 'visualización dato', 'ajuste visualización'}"
Creación actividades azure  ítem 2,APSEG,2.0,"{'ítem 2', 'azurar  ', '  ítem', 'creación actividad', 'actividad azurar'}"
Gestión paso a producción EICE,APSEG,2.0,"{'pasar producción', 'producción EICE', 'Gestión pasar'}"
En este espacio se lleva a cabo el ajuste de que la fecha de generación contenga la hora exacta de generación,COAJU,3.0,"{'espacio cabo', 'exacto generación', 'contener hora', 'fecha generación', 'generación contener', 'ajuste fecha', 'hora exacto', 'cabo ajuste'}"
En este espacio se inicia la revisión del error por el cual no se esta generando el correo electrónico,COAJU,2.0,"{'correo electrónico', 'generar correo', 'espacio iniciar', 'iniciar revisión', 'revisión error', 'error generar'}"
En este espacio se continua con la revisión del error del envío del correo electrónico ,COAJU,2.0,"{'continuar revisión', 'correo electrónico', 'error envío', 'revisión error', 'envío correo', 'espacio continuar'}"
Pruebas en ambiente DEV de payments_web,PRSIS,3.0,"{'DEV payments_web', 'Pruebas ambiente', 'ambiente DEV'}"
Pruebas en ambiente DEV de payments_web,PRSIS,2.0,"{'DEV payments_web', 'Pruebas ambiente', 'ambiente DEV'}"
"Task 214597: Solución bugs - Reportes asignaciones, desempeño general y carga trabajo",COAJU,4.0,"{'Reportes asignaciones', 'task 214597', 'cargo trabajo', '214597 Solución', 'Solución bugs', 'asignaciones desempeño', 'desempeño general', 'general cargo', 'bugs Reportes'}"
"Task 214597: Solución bugs - Reportes asignaciones, desempeño general y carga trabajo",COAJU,4.0,"{'Reportes asignaciones', 'task 214597', 'cargo trabajo', '214597 Solución', 'Solución bugs', 'asignaciones desempeño', 'desempeño general', 'general cargo', 'bugs Reportes'}"
Seguimiento a revisiones.,ASEJE,0.5,{'seguimientir revisión'}
Revisión curso Introducción al testing de Software.,ASEJE,1.0,"{'Introducción testing', 'testing Software', 'revisión curso', 'curso Introducción'}"
Se realizan modificaciones sobre el detalle de la inspeccion,COAJU,3.0,"{'realizar modificación', 'modificación detalle', 'detalle inspeccion'}"
Se realiza documentación de lo elaborado,COAJU,3.0,"{'documentación elaborado', 'realizar documentación'}"
Se realiza documentación de lo elaborado,COAJU,2.0,"{'documentación elaborado', 'realizar documentación'}"
Se realiza documentación de lo elaborado,COAJU,3.0,"{'documentación elaborado', 'realizar documentación'}"
cambio consulta datos basicos pdf poliza,COAJU,2.0,"{'consultar dato', 'dato basico', 'cambio consultar', 'pdf poliza', 'basico pdf'}"
213088  - Ejecución pruebas funcionales,PRSIS,3.0,"{'Ejecución prueba', '213088  ', '  Ejecución', 'prueba funcional'}"
213086 - Ejecución pruebas funcionales,PRSIS,2.0,"{'Ejecución prueba', '213086 Ejecución', 'prueba funcional'}"
Reunión con el área de arquitectura,APSEG,2.0,"{'área arquitectura', 'reunión área'}"
alistar datos de prueba,PRSIS,2.0,"{'dato prueba', 'alistar dato'}"
Hallazgo 36671: Optimización Cargue Bogotá - revisión,COAJU,3.0,"{'Cargue Bogotá', 'Bogotá revisión', 'Optimización Cargue', '36671 Optimización', 'hallazgo 36671'}"
Hallazgo 36671: Optimización Cargue Bogotá,COAJU,2.0,"{'Cargue Bogotá', 'Optimización Cargue', '36671 Optimización', 'hallazgo 36671'}"
"Actualización de resumen de solicitudes 
Se valida las vigencias de los proyectos de los ingenieros que terminan asignacion.",APSEG,3.0,"{'validar vigencia', 'Actualización resumen', '\r\n validar', 'proyecto ingeniero', 'resumen solicitud', 'vigencia proyecto', 'ingeniero terminar', 'solicitud \r\n', 'terminar asignacion'}"
HU Observaciones y Servicios Verificación,PRSIS,1.0,"{'HU Observaciones', 'Observaciones Servicios', 'Servicios Verificación'}"
HU Observaciones y Servicios Verificación,PRSIS,2.67,"{'HU Observaciones', 'Observaciones Servicios', 'Servicios Verificación'}"
HU Observaciones y Servicios Verificación,PRSIS,2.0,"{'HU Observaciones', 'Observaciones Servicios', 'Servicios Verificación'}"
HU Observaciones y Servicios Verificación,PRSIS,2.5,"{'HU Observaciones', 'Observaciones Servicios', 'Servicios Verificación'}"
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
1 era entrega desarrollos Dali 40 y transfiya,APSEG,0.5,"{'desarrollo Dali', 'entrega desarrollo', 'Dali 40', '40 transfiya', '1 entrega'}"
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.75,{'Daily ASW'}
Revisión Planeación ASW seguimiento,APSEG,1.0,"{'Planeación asw', 'asw seguimiento', 'Revisión Planeación'}"
"Recibir capacitación Azure: Creación de Bugs - HU - Test case,  generar archivos para disponer ambiente de pruebas Banrep",ASEJE,4.0,"{'Test case', 'disponer ambiente', 'prueba Banrep', 'recibir capacitación', 'Azure Creación', 'Bugs HU', '  generar', 'capacitación Azure', 'case  ', 'generar archivo', 'HU Test', 'Creación Bugs', 'archivo disponer', 'ambiente prueba'}"
Preparar la información para la reunión con cliente infinity.,ASEJE,1.5,"{'cliente infinity', 'reunión cliente', 'información reunión', 'preparar información'}"
Pruebas funcionales del CC: HU_063_CC_091 BOTON PRUEBA MQTT,PRSIS,1.0,"{'HU_063_CC_091 BOTON', 'CC HU_063_CC_091', 'funcional CC', 'PRUEBA MQTT', 'BOTON PRUEBA', 'prueba funcional'}"
"Revision de HU 2.
ejecucion de casos de pruebas mod 1 hu 2 ,creacion de bug.",ASEJE,1.0,"{'creacion bug', 'caso prueba', '\r\n ejecucion', 'HU 2', 'mod 1', '2 \r\n', 'Revision HU', 'prueba mod', 'ejecucion caso', 'hu 2', '1 hu', '2 creacion'}"
"Revision de HU 2.
ejecucion de casos de pruebas mod 1 hu 2 ,creacion de bug.",ASEJE,1.0,"{'creacion bug', 'caso prueba', '\r\n ejecucion', 'HU 2', 'mod 1', '2 \r\n', 'Revision HU', 'prueba mod', 'ejecucion caso', 'hu 2', '1 hu', '2 creacion'}"
"Revision de HU 2.
ejecucion de casos de pruebas mod 1 hu 2 ,creacion de bug.",ASEJE,1.0,"{'creacion bug', 'caso prueba', '\r\n ejecucion', 'HU 2', 'mod 1', '2 \r\n', 'Revision HU', 'prueba mod', 'ejecucion caso', 'hu 2', '1 hu', '2 creacion'}"
"Revision de HU 2.
ejecucion de casos de pruebas mod 1 hu 2 ,creacion de bug.",ASEJE,1.0,"{'creacion bug', 'caso prueba', '\r\n ejecucion', 'HU 2', 'mod 1', '2 \r\n', 'Revision HU', 'prueba mod', 'ejecucion caso', 'hu 2', '1 hu', '2 creacion'}"
"Revision de HU 2.
ejecucion de casos de pruebas mod 1 hu 2 ,creacion de bug.",ASEJE,1.0,"{'creacion bug', 'caso prueba', '\r\n ejecucion', 'HU 2', 'mod 1', '2 \r\n', 'Revision HU', 'prueba mod', 'ejecucion caso', 'hu 2', '1 hu', '2 creacion'}"
"Revision de HU 2.
ejecucion de casos de pruebas mod 1 hu 2 ,creacion de bug.",ASEJE,1.0,"{'creacion bug', 'caso prueba', '\r\n ejecucion', 'HU 2', 'mod 1', '2 \r\n', 'Revision HU', 'prueba mod', 'ejecucion caso', 'hu 2', '1 hu', '2 creacion'}"
"Revision de HU 2.
ejecucion de casos de pruebas mod 1 hu 2 ,creacion de bug.",ASEJE,1.0,"{'creacion bug', 'caso prueba', '\r\n ejecucion', 'HU 2', 'mod 1', '2 \r\n', 'Revision HU', 'prueba mod', 'ejecucion caso', 'hu 2', '1 hu', '2 creacion'}"
"Revision de HU 2.
ejecucion de casos de pruebas mod 1 hu 2 ,creacion de bug.",ASEJE,1.0,"{'creacion bug', 'caso prueba', '\r\n ejecucion', 'HU 2', 'mod 1', '2 \r\n', 'Revision HU', 'prueba mod', 'ejecucion caso', 'hu 2', '1 hu', '2 creacion'}"
Revisión de como desplegar una aplicación Java 11 en azure app service,ASEJE,2.0,"{'aplicación Java', 'Java 11', 'Revisión desplegar', 'desplegar aplicación', 'app servizar', 'azure app', '11 azure'}"
aplicación Java 11 en azure app service,ASEJE,2.0,"{'aplicación Java', 'Java 11', 'app servizar', 'azure app', '11 azure'}"
Revision del codigo de Angular del frontend,ASEJE,1.0,"{'Angular frontend', 'codigo Angular', 'Revision codigo'}"
Busqueda para saber como desplegar una aplicacion angular en un app service de azure,ASEJE,3.0,"{'Busqueda desplegar', 'servizar azure', 'desplegar aplicacion', 'aplicacion angular', 'app servizar', 'angular app'}"
"214558 Resolucion bugs HU_011 Semana de entrega 
",COAJU,3.0,"{'Semana entrega', 'entrega \r\n', 'HU_011 Semana', '214558 Resolucion', 'Resolucion bugs', 'bugs HU_011'}"
"214558 Resolucion bugs HU_011 Semana de entrega 
",COAJU,3.0,"{'Semana entrega', 'entrega \r\n', 'HU_011 Semana', '214558 Resolucion', 'Resolucion bugs', 'bugs HU_011'}"
"214558 Resolucion bugs HU_011 Semana de entrega 
",COAJU,2.0,"{'Semana entrega', 'entrega \r\n', 'HU_011 Semana', '214558 Resolucion', 'Resolucion bugs', 'bugs HU_011'}"
DAily - solución a temas particulares para despliegue,APSEG,2.0,"{'solución tema', 'particular despliegue', 'DAily solución', 'tema particular'}"
Daily - Seguimiento - actualización share point,APSEG,2.0,"{'share point', 'Seguimiento actualización', 'actualización share', 'Daily Seguimiento'}"
Dailys y seguimiento a equipo de trabajo,APSEG,4.0,"{'daily seguimiento', 'seguimiento equipo', 'equipo trabajo'}"
CO_965 - Ajuste URL quemadas,ASEJE,3.0,"{'CO_965 Ajuste', 'URL quemado', 'Ajuste URL'}"
CO_965 - Ajuste URL quemadas,ASEJE,3.0,"{'CO_965 Ajuste', 'URL quemado', 'Ajuste URL'}"
CO_965 - Ajuste URL quemadas,ASEJE,2.0,"{'CO_965 Ajuste', 'URL quemado', 'Ajuste URL'}"
"Realización de la paginación, falta solo enviar 2 datos que dependen del back, pero ya con eso queda al 100% esta en 90%",COAJU,2.5,"{'falta enviar', 'depender back', 'enviar 2', 'quedar 100%', 'Realización paginación', '2 dato', 'dato depender', 'back quedar', 'paginación falta', '100% 90%'}"
"Realización de la paginación, falta solo enviar 2 datos que dependen del back, pero ya con eso queda al 100% esta en 90%",COAJU,2.5,"{'falta enviar', 'depender back', 'enviar 2', 'quedar 100%', 'Realización paginación', '2 dato', 'dato depender', 'back quedar', 'paginación falta', '100% 90%'}"
"Eliminación del front el campo clonado, ajuste de maquetación y logica para enviar false.",COAJU,3.0,"{'enviar false', 'front campo', 'campo clonado', 'clonado ajuste', 'ajuste maquetación', 'maquetación logico', 'logico enviar', 'eliminación front'}"
Reunión de seguimiento diario de avances de VFE,APSEG,0.5,"{'avance VFE', 'diario avance', 'seguimiento diario', 'reunión seguimiento'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,2.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
"QA Ciclo 1
Se recuperan 2 horas, por el permiso del martes 18 de octubre",PRSIS,2.0,"{'2 hora', 'qa Ciclo', 'recuperan 2', '18 octubre', 'permiso martes', 'hora permiso', 'martes 18', 'Ciclo 1', '1 \r\n', '\r\n recuperan'}"
Daily,PRSIS,0.5,set()
Pruebas funcionales del CC: HU_065_CC_069 PERMISOS ADMINISTRADOR,PRSIS,2.0,"{'PERMISOS ADMINISTRADOR', 'funcional CC', 'CC hu_065_cc_069', 'hu_065_cc_069 PERMISOS', 'prueba funcional'}"
Pruebas funcionales del CC: HU_066_CC_060 BITACORA PERMISOS AGREGAR,PRSIS,1.0,"{'funcional CC', 'CC hu_066_cc_060', 'hu_066_cc_060 BITACORA', 'PERMISOS AGREGAR', 'BITACORA PERMISOS', 'prueba funcional'}"
Preparacion despliegue,COAJU,1.0,{'Preparacion desplegar'}
Sesión informativa Programa de Liderazgo - Proyecto Min Hacienda,APSEG,0.5,"{'Proyecto Min', 'Programa Liderazgo', 'sesión informativo', 'Min Hacienda', 'Liderazgo Proyecto', 'informativo Programa'}"
Daily de seguimiento equipo de desarrollo Asesoftware,APSEG,0.67,"{'equipo desarrollo', 'Daily seguimiento', 'seguimiento equipo', 'desarrollo Asesoftware'}"
Adelantar informe de liquidación,ASEJE,1.5,"{'informe liquidación', 'Adelantar informe'}"
213086 - Ejecución pruebas funcionales,PRSIS,1.5,"{'Ejecución prueba', '213086 Ejecución', 'prueba funcional'}"
Daily reunion am,APSEG,0.25,"{'reunion am', 'Daily reunion'}"
"Apoyo a proyecto GIZ pruebas funcionales, búsqueda avanzada.",ASEJE,3.0,"{'búsqueda avanzado', 'funcional búsqueda', 'GIZ prueba', 'proyecto GIZ', 'apoyo proyecto', 'prueba funcional'}"
"Apoyo a proyecto GIZ pruebas funcionales, búsqueda avanzada.",ASEJE,1.0,"{'búsqueda avanzado', 'funcional búsqueda', 'GIZ prueba', 'proyecto GIZ', 'apoyo proyecto', 'prueba funcional'}"
Pruebas funcionales a  errores encontrados en el sprint7.,PRSIS,3.0,"{'encontrado sprint7', 'prueba funcionales', 'error encontrado', 'funcionales  ', '  error'}"
Pruebas funcionales a  errores encontrados en el sprint7.,PRSIS,1.0,"{'encontrado sprint7', 'prueba funcionales', 'error encontrado', 'funcionales  ', '  error'}"
Pruebas funcionales del CC: HU_067_CC_068 BITACORA PERMISOS ELIMINAR,PRSIS,1.0,"{'bitacora PERMISOS', 'PERMISOS eliminar', 'funcional CC', 'hu_067_cc_068 bitacora', 'CC hu_067_cc_068', 'prueba funcional'}"
Pruebas funcionales del CC:  HU_062_CC_090 SUBIR CERTIFICADO USUARIO OPTO,PRSIS,2.5,"{'subir certificado', 'funcional CC', 'CC  ', 'hu_062_cc_090 subir', '  hu_062_cc_090', 'certificado usuario', 'usuario opto', 'prueba funcional'}"
Seguimiento planeación de revisiones de calidad - Retroalimentación Paola Vasques,ASEJE,2.0,"{'Paola Vasques', 'planeación revisión', 'Seguimiento planeación', 'Retroalimentación Paola', 'calidad Retroalimentación', 'revisión calidad'}"
Capacitación Creación casos de prueba Azure Devops,ASEJE,2.0,"{'caso prueba', 'prueba Azure', 'Capacitación Creación', 'Creación caso', 'Azure Devops'}"
Capacitación Creación casos de prueba Azure Devops,ASEJE,1.0,"{'caso prueba', 'prueba Azure', 'Capacitación Creación', 'Creación caso', 'Azure Devops'}"
